Name;Nennform;Dat. (Text);Datierung;Geo. Bez.;Beruf / Tätigkeit;Typ;Biographie;GND Link;Quelle EM;ID EM
Moura, de;de Moura;1907;Datum erste Erwähnung: 1907, Erwerbungsvorgang;"Sammelgebiet: Ovamboland; Sammelgebiet: Angola; Sammelgebiet: Mozambique";Sammler;Person;;;Nachweis aus dem Inventar III, DS bearb. B. Gliesmann, III Kopie, DS bearb. E.Maluche;3160
Mpanao borosy;Mpanao borosy;1906;Datum erste Erwähnung: 1906, Erwerbung der Objekte;Aufenthaltsort: Tananarivo (Madagaskar);Bürstenhersteller;Person;Kurzbiographie: Ethnie Hova.;;Nachweis aus der Objektdokumentation (HK ?), DS bearb. B. Gliesmann;3163
Mtuli;Mtuli;1899;Datum erste Erwähnung: 1899, Erwähnung im Aktenvorgang / Korrespondenz;;;Person;;;Erwähnung im Vorgang I B Afrika, bearb. B. Gliesmann;314841
Mudler, Herbert;Herbert Mudler;1911;Datum erste Erwähnung: 1911, Erwerbungsvorgang;Aufenthaltsort: Berlin;Veräußerer;Person;;;Nachweis aus dem Inventar I A, DS bearbeitet von B. Weiss, DS bearb. B. Gliesmann;403458
Mueller, Herbert;Herbert Mueller;"1885 - 1966; 1910; 1920";"Lebensdaten: 1885 - 1966; Datum erste Erwähnung: 1910, Aktenvorgang; Datum letzte Erwähnung: 1920, Erwerbungsvorgang";"Geburtsort: Gumbinnen (Ostpreußen); Sterbeort: Bonn; Tätigkeitsort: Peking [...]";Sammler, Jurist (Hauptberuf), Sinologe;Person;"Kurzbiographie: Nach einem Studium der Rechts- und Sprachwissenschaften, Nationalökonomie und Ethnologie promovierte Mueller 1910 zum Dr. jur. Anschließend erlernte er die chinesische Sprache und bekam eine Anstellung als wissenschaftlicher Hilfsarbeiter in der ostasiatischen Abteilung des Berliner Museums für Völkerkunde. Seine erste Reise nach China unternahm er 1912, einen längeren Aufenthalt in Peking hatte Mueller u.a. dazu genutzt, um chinesische Lieder und Theatermusik mit dem Phonographen aufzunehmen. Bei Kriegsausbruch 1914 meldete er sich in Deutschland als Kriegsfreiwilliger. 1924 ging Mueller als Auslandskorrespondent der Frankfurter Zeitung erneut nach Peking, 1934 wechselte er zum Deutschen Nachrichtenbüro, dessen Zweigstelle für Nordchina und die Mongolei er aufbaute und leitete. 1936 Reise in die  Mongolei mit Gary....Als Kriegsverbrecher in Peking verurteilt verbrachte er fünf Jahre im Zuchthaus. Nach seiner Entlassung wagte Mueller 1950 in Hamburg einen Neubeginn als freier Journalist. Er war Mitbegründer der Deutschen China-Gesellschaft.; Biografie: German Sinologist, lawyer, journalist, and art dealer.
Born in Bonn in 1885. His father was the brewery owner Eduard Müller, and his mother was Anna Küpper. He enrolled in school in Gumbinnen in 1904 and went on to study law, ethnology, and linguistics in Berlin, Kiel, and Bonn. In 1910, he received his doctorate in law from Bonn with a dissertation on an Indian topic. He also studied the Chinese language.
Employed by the Ethnological Museum of Berlin, he worked under F. W. K. Müller and was sent to China from 1912–1913 to collect archaeological and ethnographic objects. In 1914, he returned to Germany and served in World War I.
His Chinese names were Mi Hebo (米和伯) or Mi Songlin (米松林). In 1924, he came to Beijing as a foreign correspondent for the Frankfurter Zeitung. In 1934, he was transferred to the German News Bureau, where he was responsible for affairs in North China and Mongolia. In 1941, he published a map of Mongolia.
In August 1947, he was sentenced in Shanghai by a U.S. Military Commission to 10 years of hard labor for espionage on behalf of the Soviet Union and Nazi Germany. He was paroled after 5 years. He served his sentence in Germany, never returned to China, and never saw his Chinese family again. Because he was unable to return to China, his collection of books and antiques was lost. He died in Germany in 1966.
";;"Walravens, H.: Herbert Mueller (1885-1966) Sinologe, Kunsthändler, Jurist und Journalist- Eine bibliografische Skizze, Berlin (Bell), 1992 (in EM Bibl. vorh. unter 1.2.0, SN. mit Verzeichnis seiner Schriften:
u.a ZfE 45 (1913): Vorläufiger Bericht über Reisen...., S. 405 bis 420.

verwendet in: Die Wachswalzenzylinder des BPA, S. Ziegler, SMB/Ethnolog. Museum 2006, S. 363 [1 Abb.]

DS bearb. B. Gliesmann";1455
Mues, H. (Touristen Magazin);H. Mues (Touristen Magazin);"1902; 1904";"Datum erste Erwähnung: 1902, Erwerbungsvorgang; Datum letzte Erwähnung: 1904, Erwerbungsvorgang";Aufenthaltsort: Berlin;Veräußerer;Person;;;Nachweis aus dem Inventar I, DS bearb. B. Gliesmann;104300
Mukerjee;Mukerjee;1891;Datum erste Erwähnung: 1891, Erwerbungsvorgang;Sammelgebiet: Indien;Sammler;Person;;;Nachweis aus dem Inventar I, DS bearb. B. Gliesmann;839
Mukharji (Muckharjee), Baboo;Baboo Mukharji (Muckharjee);"1892; 1887";"Datum letzte Erwähnung: 1892, Erwerbungsvorgang; Datum erste Erwähnung: 1887, Erwähnung im Aktenvorgang";"Sammelgebiet: Indien; Sammelgebiet: Tibet";Sammler;Person;;;"Nachweis aus dem Vorgang I B 16 Asien, E 737/1887, DS bearb. B. Gliesmann
Nachweis aus dem Inventar I";300181
Müller;Müller;1920;Datum erste Erwähnung: 1920, Vorgang;Tätigkeitsort: Wismar;Bankdirektor;Person;;;Nachweis aus dem Vorgang E 555/1920,  DS bearb. B. Gliesmann;300657
Müller;Müller;1923;Datum erste Erwähnung: 1923, Erwerbungsvorgang;"Wohnort: Berlin; Wohnort: Bezirk, Wilmersdorf";Fotograf (?), Major (?);Person;;;"Nachweis aus dem Inventar V, DS bearb. B. Gliesmann

Nachweis Fotografen-Register C. Benedetti, DS bearb. B. Gliesmann (keine genauere Zuordnung)";367648
Müller <Dr. med.>;Dr. med. Müller;1895;Datum erste Erwähnung: 1895, Erwerbungsvorgang;Aufenthaltsort: Ohrdruf;Veräußerer;Person;;;"Nachweis aus dem Inventar I, DS bearb. B. Gliesmann
Nachweis aus dem Inventar IV, bearb. E. Maluche";355606
Müller <Dr.>;Dr. Müller;1905;Datum erste Erwähnung: 1905, Korrespondenz;Aufenthaltsort: Brighton (Großbritannien);;Person;;;Nachweis aus dem Vorgang E 1473/1905 (IB 33 Afrika), DS bearb. B. Gliesmann;403368
Müller-Beeck, F. George;F. George Müller-Beeck;"1882; 1906";"Datum erste Erwähnung: 1882, Erwerbungsvorgang; Datum letzte Erwähnung: 1906, Erwerbungsvorgang";"Tätigkeitsort: Jokohama (Yokohama) (Japan); Tätigkeitsort: Nagasaki (Japan); Aufenthaltsort: Korea, siehe Bemerkungen [...]";Sammler, Konsul;Person;"Kurzbiographie: Attaché und Sekretär des Generalkonsul Zappe in Yokohama.
Um 1898 als Konsul in Nagasaki.
Zeitraum 1892-1906 (lt Inventareintrag ""Consul"").";http://d-nb.info/gnd/176688374*;"Nachweis aus dem Inventar I und aus den Vorgängen  E 2197/1881 (IB Amerika), E 37/1886* ( I B 14 Asien), E 60/1886, DS bearb. B. Gliesmann

www.unterstein.net/ Toyoashihara-no-Chiaki-Nagaioaki-no-Mitsuho-no-Kuni/MohlAmJapHofe.pdf

ZfE (BGAEU), Verlag A. Asher & Co. (35 Jg., 1903): als ordentliche Mitglied aufgeführt Müller-Beeck, Georg, Kais. Deutscher 
Konsul, Nagasaki, Japan

* GND Eintrag bei der DNB nur Namensansetzung, keine weiteren Daten";1464
Müller-Strehlow;Müller-Strehlow;1911;Datum erste Erwähnung: 1911, Erwerbungsvorgang;;Veräußerer;Person;;;Nachweis aus dem Inventar I A, DS bearb. B. Gliesmann;1466
Müller-Winter, Fritz;Fritz Müller-Winter;"1924; 1913";"Datum letzte Erwähnung: 1924, Erwerbungsvorgang; Datum erste Erwähnung: 1913, Vorgang Leihgabe";"Aufenthaltsort: Guatemala; Sammelgebiet: Guatemala";Sammler;Person;;;"Nachweis aus dem Inventar V, DS bearb. B. Gliesmann

- keine Ergebnisse Online Recherche, kein GND Nachweis";416
Müller-Wismar, Wilhelm;Wilhelm Müller-Wismar;"20.5.1881 - 13.10.1916; März 1912";"Lebensdaten: 20.5.1881 - 13.10.1916; Beschäftigungszeit: März 1912, scheidet aus dem Berliner Museumsdienst";"Geburtsort: Wismar; Sterbeort: Soerabaja/Malang (Java, Indonesien); Tätigkeitsort: Berlin [...]";Sammler, wiss. Hilfsarbeiter am MV;Person;"Kurzbiographie: Sohn des Bankdirektors Müller aus Wismar. Studiert Ethnologie und Anthropologie an der Universität Berlin bei Felix von Luschan. 
Müller-Wismar promovierte 1905 zum PhD mit der Arbeit ""Beiträge zur Kraniologie der Neu-Britannier"" (publ. in der Reihe des MV Hamburg 1906). Wissenschaftlicher Hilfsarbeiter am Berliner Völkerkunde-Museum. Studium des Sanskrit (Religion, Literatur, Mythologie).
Als Ethnograph Teilnahme an der Südsee-Expedition¹ der Hamburgischen wissenschaftlichen Stiftung 1908-1910 (organisiert durch Georg Thilenius) sowie an der Berliner Indonesischen Expedition zu den südlichen Molukken 1913-1914². Durch den Ausbruch des 1. Weltkrieges ist eine weitere Reise nach Timor nicht möglich. 1916 starb Müller-Wismar in Malang auf Java an Typhus.

¹ Zusammen mit Ernst Sarfert und Paul Hambruch machte Müller-Wismar während dieser Expedition Walzenaufnahmen, die schließlich Ihren Weg in das Berliner Phonogramm-Archiv fanden.";http://d-nb.info/gnd/132316188;"Nachweis aus u.a. aus den Vorgängen, bearb. B. Gliesmann

GND-Nachweis, Quelle: Amicus

Kurzbiogr.:
De Jonge, Nico und van Dijk Toos: Wilhelm Müller-Wismar (1881-1916): Hunting for Answers in the Bandera Sea. In: Treasure Hunting (?) Colleectors and Collections of Indonesian Artefacts. Reimar Schefold und Han F. Vermeulen (Hrsg.). Mededelingen van het Rijksmuseum voor Volkenkunde No. 30. Research School of Asian, African and Amerindian Studies (CNWS), Universiteit Leiden. Ridderprint, Ridderkerk, 2002, S.:241-260

weitere Quelle: Fischer, Hans 1981:68–70
verwendet in:
Die Wachswalzenzylinder des BPA, S. Ziegler, SMB/Ethnolog. Museum 2006, S. 363

² ""..eigene Expedition, selbst organisiert...""
siehe: This Ingenious and Singular Apparatus
Gerry Barton, Stefan Dietrich - 2009/2010 - Crafts & Hobbies, S. 152
Online Ressource: http://books.google.de";105326
Müller, August;August Müller;"1909; 1906";"Datum letzte Erwähnung: 1909, Korrespondenz; Datum erste Erwähnung: 1906, Korrespondenz";Wohnort: Konitz;Juwelier;Person;Kurzbiographie: Bruder von Wilhelm Müller, Kaiserl. Konsul in Kobe.;;Nachweis aus dem Vorgang I B Asien, bearb. B. Gliesmann;291880
Müller, B. <Dr. med.>;Dr. med. B. Müller;1905;Datum erste Erwähnung: 1905, Erwerbungsvorgang;"Sammelgebiet: Gießen; Sammelgebiet: Süd-Peru; Sammelgebiet: Nord-Chile";Sammler;Person;;;"Nachweis aus dem Inventar I, DS bearb. B. Gliesmann
* aus EJ zu 2099/1905
Titel ""Dr. med."" lt. Karteikarte";414
Müller, Ferdinand von;Ferdinand von Müller;"30.6.1825 - 9.10.1896; 1891/1892";"Lebensdaten: 30.6.1825 - 9.10.1896; Datum erste Erwähnung: 1891/1892, Erwerbungsvorgänge";"Geburtsort: Rostock; Tätigkeitsort: Melbourne (Australien)";Tätigkeit: Sammler, Botaniker, Geograf, Direktor der Botanischen Gärten in Melbourne;Person;Kurzbiographie: Er wurde als einfacher Bürger im Kuhtor in Rostock geboren, studierte Pharmazeutik und promovierte in Kiel zum Dr. phil. Er wanderte nach Australien aus (1847), wurde zum bedeutendsten Botaniker des Kontinents und zum Gründer des Botanischen und Zoologischen Gartens in Melbourne. 1849 erhielt er die australische Staasbürgerschaft. Er verfasste zahlreiche Fachbücher, warb für die praktische Verwendung von Eukalyptus-Produkten und der Macadamia-Nuss. Er führte eine reichhaltige Korrespondenz und schickte Pflanzen und Tiere nach Deutschland, besonders an das Naturkundemuseum in Stuttgart, aber auch an die Universität Rostock.;http://d-nb.info/gnd/119408678;"http://www.stub.bildarchiv-dkg.uni-frankfurt.de/Bildprojekt-> Portrait

http://www.uni-protokolle.de/nachrichten/id/3191/
(Auszug)

GND (Kalliope): Lebensdaten, ergänz. Tätigkeiten/Funktion

Nachweis aus dem Inventar I, DS bearb. B. Gliesmann, C. Suck";105472
Müller, Friedrich Wilhelm Karl;Friedrich Wilhelm Karl Müller;"21.1.1863 - 18.4.1930; 1887 - 1.4.1928; 1889 [...]";"Lebensdaten: 21.1.1863 - 18.4.1930; Beschäftigungszeit: 1887 - 1.4.1928, Museum für Völkerkunde; Datum erste Erwähnung: 1889, Erwähnung im Vorgang [...]";"Geburtsort: Neudamm (Frankfurt a./O.); Sterbeort: Berlin; Studienort: Berlin [...]";wiss. Hilfsarbeiter, Direktorial-Assistent, Direktor der Abt. Ostasien, Orientalist, Ethnologe;Person;"Kurzbiographie: Studierte an der Theologischen Fakultät der Friedrich-Wilhelm Universität zu Berlin ev. Theologie und oriental. Sprachen, u.a. chinesisch. 1887 von Herrn Grube als wiss. Hilfsarbeiter in der Abt. Ostasien des MV beschäftigt. Um 1902 Direktorial Assistent und seit 1906 Direktor der ostasiatischen Abteilung des Museums für Völkerkunde in Berlin. Unternimmt ca. zwischen April und August 1901 (siehe Akte I/MV/ 0432) eine Ankaufsreise nach China (u.a. Beijing), Japan und Korea. Seit 1906 ordentliches Mitglied der preuß. Akademie der Wissenschaften.
Nach Tod Wilhelm Grubes 4. Juli 1908, im August des Jahres Leiter der Abt. Ostasien. Umzug der Sammlung nach Dahlem.
Leitete 1922 für 1 Jahr die Indisch-Asiatische Abteilung. Nachfolger war  v. Le Coq. 
Initiiert 1923 die Gründung der Zeitschrift ""Asia Major"" als Forum der deutschen Orientalistik und förderte die Skulärausgabe von Phillip Franz von Siebolds ""Nippon"".
Nach dem Ruhestand 1928 wurde Otto Kümmel Leiter der Abt. Ostasien.; Biografie: Geburtsdatum und Geburtsort: 1. Januar 1863 in Neudamm bei Frankfurt an der Oder 
Sterbedatum und Sterbeort: 18. April 1930 in Berlin
Deutscher Orientalist und Ethnologe, Direktor der Ostasiatischen Abteilung des Völkerkundemuseums in Berlin (1906 – 1928 (?)

Friedrich Wilhelm Karl Müller (im Folgenden F.W.K. Müller genannt) ist als Akteur im Boxerkrieg von Interesse, weil er im Auftrag des damaligen Völkerkundemuseums Berlin 1901, d.h. gegen Ende des Boxeraufstandes, zu einer „Einkaufstour“ nach Peking reiste, um Objekte für die Ostasiatische Sammlung zu erwerben. Seine Exkursion dauert elf Monate, auf der er neben China auch die Länder Singapur, Hongkong, Korea und Japan bereiste. Insgesamt versendete Müller 117 Kisten mit rund 250 chinesischen Kunstwerken nach Berlin ins königliche Völkerkundemuseum.

Die Nachricht darüber, dass nach dem Boxeraufstand besonders wertvolle Objekte auf dem Pekinger „Kunstmarkt“ zu erwerben seien, ließ das Deutsche Kaiserreich aufhorchen. Sie befürchteten, dass diese Objekte für immer in Frankreich oder Englands Museen verschwinden würden. Ausschlaggebend hierfür war der Brief des deutschen Legationsrat Wilhelm Leopold Colmar Freiherr von der Goltz (1843-1916) vom 12. Oktober 1900, den er aus Tianjin, einer südlich von Peking gelegene Hafenstadt, abschickte. In dieser Nachricht schrieb Von der Goltz, der für die Kaiserliche Deutsche Gesandtschaft in China arbeitete, das wertvolle Objekte in ganz Peking zu kaufen wären. Er empfahl, so schnell wie möglich einen Gesandten nach China zu entsenden, um bedeutende chinesische Kunstwerke für das deutsche Kaiserreich zu erwerben. Zuerst gedachte man, einen anderen Weg zu gehen, und zwar mithilfe des Boxerprotokolls. Man überlegte, China zu verpflichten eigenständig wertvolle Kunstobjekte nach Deutschland zu schicken. Dieser Plan wurde aber verworfen. Stattdessen entschied sich die Regierung des Kaisers dazu, Von der Goltz Vorschlag anzunehmen und einen Gesandten nach Peking auf eine Forschungsreise zu entsenden, mit der Intension und einem gegebenen Budget und ferner entsprechendem Fachwissen, um die wertvollsten Kunstwerke zu erwerben. Insbesondere solche Kulturgüter, die in Friedenszeiten nicht oder nur schwer zu bekommen wären, weil u.a. Geistlichen durch das Ordinationsgelübde untersagt war, Bilder von Heiligen und heilige Texte an Menschen anderer Religionen zu veräußern.
Lediglich 10.000 Mark wurden für die Akquisition bereitgestellt. Diese Summe entspricht einem Wert von nur 71.000 Euro (2021). In Anbetracht der großen Mission ein geringer Etat.
Müller hatte während seines Aufenthaltes in Beijing Kontakt zu vielen Personen, die später ihrerseits chinesische Objekte auf dem deutschen Markt veräußerten, darunter zählen u.a. Alfred Graf von Waldersee, Alfons Mumm von Schwarzenstein, Leutnant Schröder und Anton Goebel.
Ob Müller all die Objekte der 117 Kisten aus den kaiserlichen Sammlungen selbst entwendet hat oder aber direkt oder indirekt von Plünderern erworben hat, kann zum jetzigen Zeitpunkt noch nicht gesagt werden. 

, von: Henriette Lavaulx-Vrécourt, Berlin";https://d-nb.info/gnd/117580589;"siehe Friedrich Weller, B. Schindler: ""F.W.K. Müller-Leben und Werk "" S. VII-X sowie F.M. Trautz ""Veröffentllichungen 1889-1924"" , S. XI-XVI.  In: Zeitschrift Asia Major, Vol.2 (Festschrift zum 60. Gebrutstag) 1925 . Erg. SN 20.12.04.

Angabe der Direktorialzeit aus:
Findbuch MV auf S. 3 
08.1995 - 12.1996 (bearb. Babara Götze)

siehe ZfE, 40. Jhrg. 1908: Ausschluß aus der BGAEU

Hans-Alexander Kneider: Globetrotter, Abenteuer, Goldgräber -
Auf den Spuren im alten Korea dt.-korea. Bez. bis 1910, Iudicium Verl. München 2009, S. 333 (STABI 1A745229): 
erg. zur Kurzbiografie + Quellenangaben ausgew. Werke und ausgw. Bibliografie

DS bearb. Dr. S. Nahser, B. Gliesmann";1458
Müller, H.;H. Müller;1901;Datum erste Erwähnung: 1901, Erwerbungsvorgang;Aufenthaltsort: Berlin;Veräußerer;Person;;;Nachweis aus dem Inventar I, * Bürojournal, DS bearb. B. Gliesmann;312414
Müller, Leopold;Leopold Müller;"1881; 1871; 21.4.1822* - 13.10.1893";"Datum erste Erwähnung: 1881, Erwerbungsvorgang; Tätigkeitszeit: 1871, in Japan; Lebensdaten: 21.4.1822* - 13.10.1893";"Geburtsort: Mainz; Sterbeort: Berlin; Studienort: Bonn [...]";Sammler, Oberstabsarzt, Chirurg;Person;"Kurzbiographie: Sohn von Leopold Müller, einem Soldaten der Bundesfestung Mainz, dieser geboren in Heinfeld/Unterösterreich. Die Mutter Elisabeth Beck aus Schwalbach/Taunus. 1842 studierte Müller an der Universität Bonn Medizin. Am 28.5.1847 wurde er zum Dr. med. promoviert. Anschließend trat er als Einjährig-Freiwilliger Arzt in die Berliner Charité ein. In den folgenden Jahren, nach der med.-chirug. Staatsprüfung diente er als Chirug bei der Gardeartilleriebrigade, beim Gardedragonerregiment und, ab dem 1. Mai 1851, beim Regiment Gardes du Coprps in Berlin.Am 5. April wurde er als Dozent an das Med.-chirug. Friedrich-Wilhelm Institut Berlin versetzt. 1856 erreichte ihn ein Ruf nach Port-au-Rince auf Haiti. Dort organisierte er im Auftrag der Regierung das Militärmedizinalwesen und die Militärhospitäler. Nach einem Regierungswechsel kehrte er am 1867 wieder nach Berlin zurück. 1867/68 wurde er von der preuß. Regierung zur Bekämpfung einer Flecktyphusepidemie nach Ostpreußen gesandt.Im August ließ er sich als praktzierender Arzt in Berlin nieder, wurde jedoch ein Jahr später wieder für die Armee reaktiviert. Während des deutsch-französischen Krieges 1870/71 war er als Chefarzt und zuletzt als Oberstabsarzt 2. Klasse tätig.
Bereits 1870 war Müller auf Vorschlag des preuß. Ministerresidenten Max Scipio von Brandt als Lehrer an die Med.-chirug. Akademie (»Daigaku«) in Tokyo berufen worden, jedoch wurde Müller zusammen mit Theodor Hoffmann erst nach dem Krieg beurlaubt. Müller unterrichtete in den Fächern Chirugie, Augenheilkunde, Geburtshilfe und Anfangs auch Anatomie. Einen neuen 3-jährigen Vertrag zu für ihn ungünstigen Bedingungen lehnte Müller ab. Er lehrte bis zum 23. August 1875 und blieb, nach der Ernennung zum Leibarzt, bis zum November 1875 in Japan. Am 8. April 1876 traf er wieder in Berlin ein.
Am 22. Dezember 1887 wurde er zum Chefarzt des Garnisonslazarett I in Berlin sowie zum Leiter des Invalidenhauses ernannt.
Er verstarb an einem Herzleiden.

Leopold Müller machte als erster, zusammen mit Theodor Hoffmann, Japan mit der deutschen Medzin bekannt. Leopold Müller und Theodor G. Hoffmann seit 1871 in Japan.";;"Nachweis aus dem Inventar I, DS bearb. B. Gliesmann + HK: FR Ost- und Nordasein

biogr. Angaben aus Diss. an der med. Fak. der Univ. Düsseldorf: Einführung der deutschen Medizin in Japan der Meiji-Zeit, Dr. med. Herm. Heinr. Vianden, Triltsch Verlag Düsseldorf, 1985, S. 173-175
*unterschiedliche Geburtsdaten: u.a. 24.6.1824/24.7.1827, s.a. Kritzler-Kosch, S. 239; 296). Brückenbauer....(Hg.) JDZB, Berlin 2005

Lit.: Erwähnung auch in Tokyo-Berlin im 19. u. 20. Jh., Berlin (Deutsch-Japanisches Zentrum), 1997";1462
Müller, P.G.;P.G. Müller;1911;Datum erste Erwähnung: 1911, Erwerbungsvorgang;"Aufenthaltsort: Leipzig; Sammelgebiet: Sumatra (Batak)";;Person;;;Nachweis aus dem Inventar I A, DS bearb. B. Gliesmann;332015
Müller, R.;R. Müller;"1901; 1885";"Datum letzte Erwähnung: 1901, Korrespondenz; Datum erste Erwähnung: 1885, Korrespondenz";Aufenthaltsort: Hamburg;Missionar;Person;;;Nachweis aus dem Vorgang IB 25 Afrika, E 888/1901, DS bearb. B. Gliesmann - s. Bem.;308692
Müller, Rolf;Rolf Müller;1931;Datum erste Erwähnung: 1931, Erwerbungsvorgang;Aufenthaltsort: Potsdam;Veräußerer;Person;;;Nachweis aus dem Inventar V, DS bearb. B. Gliesmann;415
Müller, Sophus;Sophus Müller;"24.5.1846 - 24.2.1934; 1893";"Lebensdaten: 24.5.1846 - 24.2.1934; Datum erste Erwähnung: 1893, Korrespondenz (Aktenvorgang)";"Tätigkeitsort: Kopenhagen (Dänemark); Aufenthaltsort: Stadt, Potosi in Bolivien (Anden)";Sammler, Archäologe, Direktor des Nationalmuseums, Kopenhagen;Person;Kurzbiographie: Sophus Müller, geboren am 24. Mai 1846 in Kopenhagen, gestorben am 24. Februar 1934 in Kopenhagen. Er war zunächst im Schuldienst und unternahm Studienreisen. 1878 wurde er Assistent beim Altnordischen Staatsmuseum in Kopenhagen, 1885 dort Inspektor und von 1892 bis 1921 Direktor des Nationalmuseums in Kopenhagen. Er erwarb sich große Verdienste um die archäologische Denkmalpflege, leitete Grabungen und publizierte darüber. Von ihm stammt der Name Dolchzeit (1902).;;"Nachweis aus dem Vorgang I B Amerika, E 1007/1894, DS bearb. B. Gliesmann 

www.wissenschaft-frauen.de.vu; www.steinzeit-pioniere.de.vu

Angabe Direktor: Adreßangabe siehe ZfE, 40. Jhrg. 1908";412
Müller, von;von Müller;1888;Datum erste Erwähnung: 1888;"Australien; Aufenthaltsort: Melbourne";Korrespondent;Person;;;DS bearb. B. Gliesmann;291923
Müller, W. <Dr.>;Dr. W. Müller;1907;Datum erste Erwähnung: 1907, Erwähnung im Vorgang;;;Person;;;Nachweis aus dem Vorgang E 2200/1907 (IB 78 Afrika/Kriegsbeute) - Tanzania-Projekt, DS bearb. B. Gliesmann;405604
Müller, Wilhelm;Wilhelm Müller;"1905; 1909";"Lebensdaten: 1871 - 1936; Datum erste Erwähnung: 1905; Datum letzte Erwähnung: 1909";"Tätigkeitsort: Kobe (Japan); Tätigkeitsort: Schimonoseki (Japan); Sammelgebiet: Formosa (Taiwan)";Sammler, Dolmetscher, Kaiserlich Deutscher Konsul;Person;;;Nachweis aus dem Vorgängen I B Asien (u.a. E 563/1914 (IB 68 Asien) und aus dem Inventar I A, DS bearb. B. Gliesmann;841
Mülling, K.;K. Mülling;1911;Datum erste Erwähnung: 1911, Erwerbungsvorgang;Sammelgebiet: Kamerun;Veräußerer, Gouverneur, Sekretär;Person;;;Nachweis aus dem Inventar III/III Kopie, E. Maluche, DS bearb. B. Gliesmann;378848
Mülmann, A. v.;A. v. Mülmann;1913;Datum erste Erwähnung: 1913, Erwerbungsvorgang;Aufenthaltsort: Charlottenburg;Veräußerer, Generalmajor a. D.;Person;;;"Nachweis aus dem Inventar I A, DS bearbeitet von B. Weiss

Namenskürzel, Ort (Register) im Vorgang/Akte recherchiert.
DS bearb. B. Gliesmann";403556
Mülmann, von;von Mülmann;1909;Datum erste Erwähnung: 1909, Erwerbungsvorgang;Sammelgebiet: China;Veräußerer, Oberst;Person;;;Nachweis aus dem Inventar I A, DS bearb. B. Gliesmann;106860
Münder & Anerswald;Münder & Anerswald;1906;Datum erste Erwähnung: 1906, Aktenvorgang;Sitz: Durban;;Körperschaft;;;aus dem Bürojournal, bearb. B. Gliesmann;311580
Münzkabinett der Chare National Bank, New York;Münzkabinett der Chare National Bank, New York;1930 - 1931;Datum erste Erwähnung: 1930 - 1931, Leihvorgang;Standort: New York (Vereinigte Staaten, USA);;Körperschaft;;;Nachweis aus den Vorgängen  E 1249/1930 und E 383/1931, DS bearb. B. Gliesmann;408347
Münzkabinett der Königlichen Museen zu Berlin;Münzkabinett der Königlichen Museen zu Berlin;"1852; 1830 - 1918";"Datum erste Erwähnung: 1852, Erwähnung im Abgabevorgang (EM); Existenzdaten: 1830 - 1918";Standort: Berlin;;Körperschaft;"Kurzbiographie: Anfänge des Münzkabinetts gehen auf die Kunstkammer der Kurfürsten von Brandenburg zurück. 1649 umfasste der Bestand bereits rund 5.000 überwiegend antike Münzen. 1830 Angliederung des Münzkabinetts bei Gründung der Königlichen Museen an das Antiquarium, mit eigenen Räumen im Alten Museum, womit die Sammlung auch der Öffentlichkeit zugänglich wurde. Bis 1868 räumliche, verwaltungstechnische und personelle Teilung in ein Kabinett der antiken Münzen seit 1835 unter Moritz Pinder, seit 1858 unter Julius Friedländer (Eintritt 1840 in das Kabinett) und ein Kabinett der Neueren Münzen und Medaillen 1835-1868 unter Heinrich Bolzenthal. 1868-1884 Direktorat Julius Friedländers. Personelle Verstärkung durch die Eintritte von Alfred von Sallet 1870 und Adolf Erman 1877.
1868 erhielt das Kabinett den Status eines eigenständigen Museums. Bis zum Ende des Kaiserreichs 1918 wurden die Bestände durch zahlreiche Ankäufe und die Erwerbung großer Privatsammlungen bedeutend erweitert. 1904 erfolgte der Umzug in das Kaiser Friedrich-Museum (seit 1956 Bode-Museum), in dem das Untergeschoss auf der Kupfergrabenseite speziell für die Belange des Münzkabinetts eingerichtet wurde.";http://d-nb.info/gnd/806418-0;"Nachweis im Vorgang E 1932/1852 (I B 1 Asien), DS bearb. B. Gliesmann

http://www.smb.museum/smb/sammlungen: Zeittafel zur Geschichte des Münzkabinetts";303190
Musée d'Ethnographie du Trocadéro;Musée d'Ethnographie du Trocadéro;"1878 - 1935; 1929";"Existenzdaten: 1878 - 1935; Datum erste Erwähnung: 1929, Vorgang";Standort: Passy (Paris);;Person;;;Nachweis aus dem Bürojournal zum Vorgang, E 365/1929 (II c), DS bearb. B. Gliesmann;112667
Musée d´Ethnographie, Paris;Musée d´Ethnographie, Paris;1905;Datum erste Erwähnung: 1905, Erwähnung im Erwerbungsvorgang;Standort: Paris (Frankreich);;Person;;;Nachweis aus dem Inventar I, DS bearb. B. Gliesmann;409580
Musée du Congo Belge;Musée du Congo Belge;1913;Datum erste Erwähnung: 1913, Erwerbungsvorgang;Aufenthaltsort: Tervuren (Belgien);;Körperschaft;;https://reconcile.gnd.network/gnd/1043052-0;Inhalt aus Inventar III / III Kopie, E.Maluche, DS bearb. B. Gliesmann;379533
Musée Guimet;Musée Guimet;1908;Datum erste Erwähnung: 1908, Erwerbungsvorgang;Aufenthaltsort: Paris (Frankreich);;Körperschaft;;https://reconcile.gnd.network/gnd/2019218-6;Nachweis aus dem Inventar I A, DS bearb. B. Gliesmann;370366
